bad;/bæd/;adj:xấu, tồi
will;/wɪl/;v:sẽ/n:ý chí, ý định
win;/wɪn/;v:chiếm, đọat, thu được, thắng
wind;/wɪnd/;n:gió
window;/ˈwɪn.dəʊ/;n:cửa sổ
wing;/wɪŋ/;n:cánh, sự bay, sự cất cánh
winter;/ˈwɪn.tər/;n:mùa đông
weak;/wiːk/;adj:yếu
weakness;/ˈwiːk.nəs/;n:điểm yếu, sự yếu
wire;/waɪər/;n:dây (kim loại)
wish;/wɪʃ/;v:ước, mong muốn/n:sự mong ước, lòng mong muốn
with;/wɪð/;prep:với, cùng
woman;/ˈwʊm.ən/;n:đàn bà, phụ nữ (số ít)
women;/ˈwɪm.ɪn/;n:những người phụ nữ (số nhiều)
wonder;/ˈwʌn.dər/;v:ngạc nhiên, lấy làm lạ, kinh ngạc
wood;/wʊd/;n:gỗ
word;/wɜːd/;n:từ
work;/wɜːk/;v:làm việc/n:sự làm việc
world;/wɜːld/;n:thế giới
write;/raɪt/;v:viết
wrong;/rɒŋ/;adj:sai/adv:sai cách, sai hướng
xylophone;/ˈzaɪ.ləˌfoʊn/;n:đàn phiến gỗ, mộc cầm
x-ray;/ˈɛksˌreɪ/;n:tia X/v:chụp X quang
xenophobia;/ˌzɛn.əˈfoʊ.bi.ə/;n:sự bài ngoại, hội chứng sợ người lạ
xenon;/ˈziː.nɒn/;n:nguyên tố hóa học xenon
xenography;/ˌzɪəˈrɒɡ.rə.fi/;n:kỹ thuật sao chụp điện tĩnh
xenolith;/ˈzɛn.ə.lɪθ/;n:đá ở thể tù
x-asis;/ˈɛks ˌæk.sɪs/;n:trục x (trục hoành)
xanadu;/ˈzæn.əˌduː/;n:chốn bồng lai tiên cảnh
xerophyte;/ˈzɪə.rə.faɪt/;n:cây ưa khô, cây chịu hạn
xylene;/ˈzaɪ.liːn/;n:chất dung môi Xylen
xenogenesis;/ˌzɛn.oʊˈdʒɛn.ə.sɪs/;n:sự dị phát sinh
xylem;/ˈzaɪ.ləm/;n:mô mạch, mạch gỗ
xeriscape;/ˈzɪərɪˌskeɪp/;n:cảnh quan khô hạn
xeroderma;/ˌzɪər.oʊˈdɜr.mə/;n:bệnh khô da sắc tố
xylograph;/ˈzaɪ.ləˌɡræf/;v:khắc gỗ/n:bản khắc gỗ, họa tiết bằng gỗ;
xylography;/zaɪˈlɑː.ɡrə.fi/;n:nghệ thuật khắc gỗ
xylographer;/zaɪˈlɑː.ɡrə.fər/;n:thợ khắc gỗ
xerophthalmia;/ˌzɪə.roʊˈθæl.mi.ə/;n:bệnh khô mắt
xenophobic;/zɛnəˈfoʊbɪk/;adj:bài ngoại
xenial;/ˈziːniəl/;adj:hiếu khách, thân thiện
xeric;/ˈzɛrɪk/;adj:khô cằn, chịu hạn, khan
yard;/jɑːrd/;n:khoảng sân
year;/jɪər/;n:năm
yellow;/ˈjɛloʊ/;adj:vàng/n:màu vàng
yield;/jiːld/;n:sản lượng/v:cho ra, sản sinh, sản xuất
yolk;/joʊk/;n:lòng đỏ trứng
youth;/juːθ/;n:tuổi trẻ
yoga;/ˈjoʊɡə/;n:bài tập thể dục và hít thở
yacht;/jɒt/;n:tàu du lịch
yesterday;/ˈjɛstərdeɪ/;n:ngày hôm qua/adv:hôm qua
yearning;/ˈjɜːrnɪŋ/;n:mong muốn mạnh mẽ và sâu sắc
yarn;/jɑːrn/;n:sợi len
yachtswoman;/ˈjɒtswʊmən/;n:nữ điều khiển du thuyền
yeast;/jiːst/;n:men, nấm
yachtman;/ˈjɒtsmən/;n:người lái du thuyền
yawn;/jɔːn/;v:ngáp
yellowish;/ˈjɛloʊɪʃ/;adj:màu vàng nhạt
youthful;/ˈjuθfəl/;adj:trẻ trung, tuổi trẻ
yummy;/ˈjʌmi/;adj:ngon miệng
yeasty;/ˈjiːsti/;adj:mang vị men
yellowed;/ˈjɛloʊd/;adj:bị vàng, ố vàng
youthless;/ˈjuθləs/;adj:không còn trẻ trung, già
yearn;/jɜːrn/;v:mong muốn mãnh liệt
yank;/jæŋk/;v:kéo mạnh
yet;/jet/;adv:vẫn chưa/conj:nhưng
you;/juː/;pron:bạn, cậu (người đang nói trực tiếp)
your;/jɚ/;det:của bạn, của cậu
yogurt;/ˈjoʊ.ɡɚt/;n:sữa chua
yearbook;/ˈjɪr.bʊk/;n:niên giám
zigzag;/ˈzɪɡ.zæɡ/;n:hình díc dắc/v:di chuyển díc dắc
witch;/wɪtʃ/;n:phù thủy
zinc;/zɪŋk/;n:kẽm
roundabout;/ˈraʊnd.ə.baʊt/;n:vòng xuyến
fork;/fɔːrk/;n:cái dĩa (nĩa)
spoon;/spuːn/;n:cái thìa
pan;/pæn/;n:cái chảo, cái xoong
ladder;/ˈlæd.ɚ/;n:cái thang
bottle;/ˈbɑː.t̬əl/;n:cái chai/v:đóng chai
colander;/ˈkɑː.lən.dɚ/;n:cái rây
grater;/ˈɡreɪ.t̬ɚ/;n:cái bào sợi
grind;/ɡraɪnd/;v:nghiền
grinder;/ˈɡraɪn.dɚ/;n:đồ nghiền
architect;/ˈɑːr.kə.tekt/;n:sư kiến trúc sư
architecture;/ˈɑːr.kə.tek.tʃɚ/;n:kiến trúc
basement;/ˈbeɪs.mənt/;n:tầng hầm
stairs;/ster/;n:cầu thang bộ
elevator;/ˈel.ə.veɪ.t̬ɚ/;n:thang máy
drawer;/drɔːr/;n:cái tủ có ngăn kéo
cupboard;/ˈkʌb.ɚd/;n:tủ đựng cốc chén
curtain;/ˈkɝː.tən/;n:rèm cửa
mat;/mæt/;n:tấm thảm
whisk;/wɪsk/;v:đánh bông/n:dụng cụ đánh bông
cucumber;/ˈkjuː.kʌm.bɚ/;n:dưa chuột
lettuce;/ˈlet̬.ɪs/;n:xà lách
pork;/pɔːrk/;n:thịt lợn
beef;/biːf/;n:thịt bò
chicken;/ˈtʃɪk.ɪn/;n:con gà, thịt gà
shrimp;/ʃrɪmp/;n:tôm
carrot;/ˈker.ət/;n:củ cà rốt
pepper;/ˈpep.ɚ/;n:tiêu (đã xay)
lemongrass;/ˈlem.ənˌɡræs/;n:sả
tomato;/təˈmeɪ.t̬oʊ/;n:quả cà chua
potato;/pəˈteɪ.t̬oʊ/;n:củ khoai tây
cabbage;/ˈkæb.ɪdʒ/;n:bắp cải
cheese;/tʃiːz/;n:pho mai
wine;/waɪn/;n:rượu
winery;/ˈwaɪ.nɚ.i/;n:trang trại sản xuất rượu
alcohol;/ˈæl.kə.hɑːl/;n:cồn
alcoholic;/ˌæl.kəˈhɑː.lɪk/;adj:có chứa cồn
beer;/bɪr/;n:bia
champion;/ˈtʃæm.pi.ən/;n:quán quân
flexible;/ˈflek.sə.bəl/;adj:dẻo dai, dễ thay đổi để thích nghi
flexibility;/ˌflek.səˈbɪl.ə.t̬i/;n:sự dẻo dai
zone;/zoʊn/;n:vùng
zero;/ˈzɪr.oʊ/;det:số không
zebra;/ˈziː.brə/;n:con ngựa vằn
oven;/ˈʌv.ən/;n:lò nướng
sink;/sɪŋk/;v:chìm, đắm/n:bồn rửa
fridge;/frɪdʒ/;n:tủ lạnh
microwave;/ˈmaɪ.kroʊ.weɪv/;n:lò vi sóng/n:sóng vi ba
blender;/ˈblen.dɚ/;n:máy xay
stove;/stoʊv/;n:lò sưởi/n:bếp
plate;/pleɪt/;n:đĩa, tấm
bowl;/boʊl/;n:cái bát
toaster;/ˈtoʊ.stɚ/;n:máy làm bánh mì nướng
apron;/ˈeɪ.prən/;n:tạp dề
basket;/ˈbæs.kət/;n:rỏ, lưới đựng
scissors;/ˈsɪz.ɚz/;n:cây kéo
chopstick;/ˈtʃɑːp.stɪk/;n:đũa
pour;/pɔːr/;v:đổ vào (thường là chất lỏng)
bakery;/ˈbeɪ.kɚ.i/;n:tiệm bánh
bake;/beɪk/;v:nướng (trong lò)
boil;/bɔɪl/;v:sôi, đun sôi
chop;/tʃɑːp/;v:chặt, thái
butcher;/ˈbʊtʃ.ɚ/;n:người bán thịt/v:giết mổ động vật lấy thịt
drain;/dreɪn/;v:làm ráo nước
grease;/ɡriːs/;n:mỡ, váng mỡ (thường dùng với món ăn)
roast;/roʊst/;v:nướng (thường trên vỉ)
acid;/ˈæs.ɪd/;n:a-xít/adj:chứa acid
acidic;/əˈsɪd.ɪk/;adj:rất chua, có tính acid
sour;/saʊr/;adj:chua
spicy;/ˈspaɪ.si/;adj:cay
salty;/ˈsɑːl.t̬i/;adj:mặn
